País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Colombia,2024,2358,Ley ordinaria,"CREA EL FONDO ""NO ES HORA DE CALLAR"" PARA LA PREVENCIÓN, PROTECCIÓN Y ASISTENCIA DE MUJERES PERIODISTAS VÍCTIMAS DE VIOLENCIA DE GÉNERO. LA LEY SE PROMULGÓ EN CUMPLIMIENTO DE LA CONDENA CONTRA EL ESTADO DE COLOMBIA POR PARTE DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS EN EL CASO BEDOYA LIMA Y OTRA VS. COLOMBIA.",https://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/proyectos%20de%20ley/2022-2023/PL-106S-2022.pdf,2024-06-07,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,"Discriminación, violencia y discursos de odio",,,,,Violencia de género,Libertad de expresión,
Colombia,2024,2416,Ley ordinaria,"DECLARA DE UTILIDAD PÚBLICA E INTERÉS SOCIAL EL TENDIDO, CONSTRUCCIÓN Y OPERACIÓN DE REDES DE TELECOMUNICACIONES",https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=159401,2024-08-09,SI,"LEY 1341 DE 2009, LEY 1978 DE 2019",SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,Acceso a Internet,,
Guatemala,2024,DICTAMEN 04-2024,Ley ordinaria,"Busca establecer la Ley de Portabilidad Numérica en Servicios de Telefonía en Guatemala. Su objetivo es garantizar el derecho de los usuarios a conservar su número telefónico al cambiar de proveedor, bajo condiciones técnicas, administrativas y regulatorias claras, fijadas por la Superintendencia de Telecomunicaciones (SIT). La ley establece principios de libertad de elección, transparencia, facilidad de proceso y no discriminación, orientados a garantizar la libre competencia en el sector. Asimismo, deroga el literal b) del artículo 22 bis de la Ley General de Telecomunicaciones (Decreto 94-96), eliminando la excepción de la obligación de portabilidad numérica que actualmente exime a ciertos operadores.",https://www.congreso.gob.gt/assets/uploads/comisiones/dictamenes/07ea2-dictamen-6394-fav-cctop.pdf,2024-11-18,SI,Decreto N.º 94-96,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,Promueve,Derechos del consumidor,SI,SI,SI,SI,Acceso a la información,,"El test de legalidad se cumple porque la restricción se encuentra establecida en una ley que es precisa y predecible. También supera el test de necesidad, se busca corregir una falla normativa previa que restringía la portabilidad, generando monopolios de facto en números telefónicos. Por último, la medida es equilibrada, pues la carga se impone al operador (que tiene capacidad técnica y económica), mientras que garantiza al usuario la continuidad de sus comunicaciones sin barreras ni costos adicionales."
Guatemala,2024,Decreto Número 6:VH,Ley ordinaria,"Nueva ley de la Policía Nacional Civil de Guatemala, reemplazando el Decreto 11-97, con el objetivo de modernizar la estructura, funciones, organización, carrera policial y control interno de la institución. La iniciativa redefine las funciones de la PNC, fortaleciendo su papel en la prevención del delito, investigación criminal, preservación del orden público y seguridad ciudadana, incluyendo la creación de una Dirección de Ciberseguridad y Ciberdelincuencia con funciones específicas en entornos digitales. Además, establece mecanismos de inteligencia policial, manejo de información y colaboración internacional en materia de seguridad.",https://www.congreso.gob.gt/assets/uploads/info_legislativo/dictamen/32a2e-dictamen-5601.pdf,2024-11-25,SI,Decreto 11-97,,,NO,NO,NO,NO,SI,SI,NO,NO,NO,Limita,Seguridad Nacional,SI,NO,NO,NO,,,"Supera el test de legalidad. La restricción se encuentra en el marco de una Ley formal con atribuciones claras. El criterio de la necesidad se cumple parcialmente. Si bien la modernización de la PNC responde a necesidades legítimas en seguridad, la amplitud de las facultades en inteligencia, ciberseguridad y manejo de protestas puede no ser estrictamente necesaria, y podría haberse optado por regulaciones más equilibradas o con contrapesos civiles claros. Asimismo, la proporcionalidad no se cumple. Las atribuciones otorgadas son amplias y ambiguas en lo que respecta a protestas, difusión de información y uso de redes sociales. La Ley no establece salvaguardas suficientes contra abusos, ni mecanismos efectivos de control civil o judicial inmediato"
Guatemala,2024,DICTAMEN NUMERO 01-2024,Ley ordinaria,"Aprueba la Ley de Organizaciones de la Sociedad Civil (OSC), derogando la actual Ley de Organizaciones No Gubernamentales para el Desarrollo (Decreto 2-2003 y reformas). La propuesta busca garantizar la libertad de asociación estableciendo un marco legal más claro para la constitución, funcionamiento, fiscalización y disolución de las OSC. Regula expresamente la inscripción en el Registro de Personas Jurídicas (REPEJU), incorpora controles financieros, contables y fiscales, y prevé obligaciones adicionales como la presentación de informes a la SAT y a la Contraloría General de Cuentas. Además, reforma el Código Civil para adecuarlo al nuevo régimen jurídico propuesto.",https://www.congreso.gob.gt/assets/uploads/comisiones/dictamenes/3a1c8-dictamen-6477-fav-ccong.pdf,2024-12-04,SI,Ley de Organizaciones No Gubernamentales para el Desarrollo,SI,,NO,NO,SI,NO,SI,NO,NO,NO,NO,Limita,Orden Público,SI,SI,NO,NO,,,"Cumple con el crietrio de legalidad. Se trata de una ley formal, con disposiciones claras, predecibles. No cumple plenamente con el criterio de necesidad."
Paraguay,2024,7363,Ley ordinaria,"Establece un régimen de control, transparencia y rendición de cuentas para las Organizaciones Sin Fines de Lucro (OSFL) que operan en Paraguay. Su objetivo es regular el registro, la documentación obligatoria y la supervisión de estas organizaciones cuando administran fondos públicos o internacionales. La autoridad de aplicación es el Ministerio de Economía y Finanzas, que debe garantizar la autonomía de las OSFL sin interferir en su funcionamiento interno. Se imponen sanciones administrativas en caso de incumplimiento, incluyendo la suspensión de actividades y la inhabilitación de responsables.",https://silpy.congreso.gov.py/web/ley/144993,2024-10-09,NO,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Acceso a la información,SI,NO,NO,NO,Transparencia,,"La ley es clara en su formulación, estableciendo reglas precisas y predecibles, superando el criterio de legalidad. En cuanto al criterio de necesidad, aunque la transparencia es un objetivo legítimo, la imposición de registros y sanciones podría no ser la única manera de garantizarla, especialmente si genera efectos disuasorios en organizaciones críticas del gobierno. Por último, no cumple el criterio de proporcionalidad, pues no está claro que las restricciones sean proporcionales al objetivo buscado. Las sanciones podrían limitar de manera excesiva la labor de algunas OSFL."
Perú,2024,LEY 31990,LEY,"La ley modifica una serie de artículos del Código Procesal Penal en el ámbito del proceso de colaboración eficaz. Entre las reformas, se dispone la obligación de grabar las declaraciones del colaborador así como el deber de los fiscales de proteger la reserva de todo el proceso de colaboración eficaz, incluyendo el contenido de las declaraciones de los aspirantes y sus identidades, bajo responsabilidad administrativa, civil y penal.",https://spij.minjus.gob.pe/spij-ext-web/#/detallenorma/H1372408,2024-03-21,SI,Código Procesal Penal (Decreto Legislativo 957),SI,,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,NO,NO,NO,Privacidad,,"La ley es suficientemente precisa respecto de las situaciones en las que el fiscal a cargo del proceso de colaboración será responsable por la reserva de información. De hecho, se delimita el contenido protegido a la identidad de los colaboradores, sus declaraciones y el secreto del proceso en sí. Por lo tanto, se cumple con el paso de legalidad. No obstante, no se supera el paso de necesidad, esto en tanto el principio de reserva de información ya era aplicable al proceso de colaboración, por lo que no se percibe un significativo aumento de eficacia en la reserva con la implementación de responsabilidad funcional para los fiscales. Tampoco se ha sustentado qué tipo de divulgación de información ha perjudicado la eficacia del proceso de colaboración eficaz de manera tal que se justifique la imposición de sanciones a fiscales. Finalmente, la ley no supera el paso de proporcionalidad en tanto es excesivo que el fiscal a cargo del proceso deba enfrentar acciones civiles, administrativas y penales frente a información cuya divulgación podría ser inocua para el proceso. Por el contrario, se genera un efecto inhibidor sensible y se dificulta el acceso del periodismo a información de interés público."
Argentina,2023,27706,Ley,Programa federal único de informatización y digitalización de historias clínicas de la república argentina,https://www.boletinoficial.gob.ar/detalleAviso/primera/282707/20230316,2023-03-16,SI,Ley 27706,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
Argentina,2023,27736,Ley,Ley Olimpia - Modificaciones a la ley 26.485 - Violencia Digital,https://www.boletinoficial.gob.ar/detalleAviso/primera/296572/20231023,2023-10-11,SI,Ley 27736,SI,,NO,NO,NO,NO,SI,SI,,SI,,Limita,"Discriminación, violencia y discursos de odio",NO,SI,NO,NO,Violencia de género,,
Colombia,2023,2300,Ley ordinaria,"PROHÍBE A LAS ENTIDADES FINANCIERAS CONTACTAR A LAS PERSONAS A TRAVÉS DE MENSAJES DE TEXTO, LLAMADAS TELEFÓNICAS, CORREOS ELECTRÓNICOS Y SIMILARES DURANTE HORAS NO HÁBILES, FINES DE SEMANA Y DÍAS FESTIVOS.",--,2023-07-10,NO,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Privacidad,Datos personales,"LA LEY CUMPLE CUMPLE CON EL OBJETIVO LEGÍTIMO DE PROTEGER LA PRIVACIDAD DE LOS USUARIOS FINANCIEROS Y CUMPLE CON EL REQUISITO DE LEGALIDAD Y PROPORCIONALIDAD DADO QUE ESTABLECE UNA RESTRICCIÓN ESPECÍFICA, LIMITADA A HORAS Y DÍAS NO HÁBILES."
Perú,2023,Ley 31739,LEY,"La ley regula el uso de los emblemas de la Cruz Roja, de la Media Luna Roja y del Cristal Rojo en todo el territorio nacional estipulando una lista taxativa de personas y bienes autorizadas a usarlos. Asimismo, establece las medidas de prevención, control, sanción y vigilancia por el uso indebido y por la imitación de estos.",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=202103225&View,2023-05-11,NO,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Publicidad oficial,SI,SI,SI,SI,,,"La legalidad del proyecto de restricción del uso del símbolo de la cruz roja se cumple, ya que se establece claramente que su uso está destinado solo a contextos específicos, y se proporciona una lista taxativa de sujetos autorizados a utilizar los emblemas con fines de protección. En cuanto a la necesidad, se entiende que la restricción se enmarca en el objetivo legítimo 13.2.b, que busca proteger el orden público y la claridad sobre quienes utilizan el símbolo, considerando el papel importante de la cruz roja en la prestación de ayuda. En términos de proporcionalidad, el proyecto regula de manera clara y específica que las solicitudes de inscripción en el registro de personas jurídicas no pueden incluir denominaciones como ""Cruz Roja"", ""Media Luna Roja"" o ""Cristal Rojo"" para evitar usos indebidos del símbolo. Además, se asegura que los miembros de las fuerzas armadas no hagan un uso inapropiado de los símbolos, sin afectar la libre expresión de la ciudadanía en general, ya que no parece alcanzar a usos inocentes de los símbolos (sin ánimo de genera confusión) o al uso en parodias o críticas."
Perú,2023,Ley 31742,LEY,"La ley tiene como objetivo implementar la Plataforma Integrada para la Gestión Electrónica de Recursos Humanos (SAGRH) en las entidades públicas de los tres niveles de gobierno para fortalecer y transparentar la gestión de recursos humanos. La Plataforma contendrá documentos de gestión, información de procesos de selección y el legajo de servidores civiles, con acceso en tiempo real para el Congreso y el cumplimiento de la Ley de Protección de Datos Personales.",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=202102263&View,2023-05-17,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Perú,2023,Ley 31783,LEY,"La ley modifica la Ley de Transparencia en dos términos. En primer lugar, en el artículo 19, Establece que la Autoridad Nacional de Transparencia y Acceso a la Información Pública (ANTAIP) enviará un informe anual al Congreso de la República, detallando las solicitudes de acceso a la información pública atendidas y no atendidas, así como el nivel de cumplimiento en la actualización de la información pública en los portales de transparencia. En segundo lugar, se agregan los artículos 6-A y 6-B, donde se establecen los plazos de actualización de la información en los portales de transparencia. La ANTAIP será responsable de supervisar el cumplimiento de estos plazos, ya sea por iniciativa propia, a petición de otras entidades o por denuncias. En caso de incumplimiento, la ANTAIP informará a la entidad correspondiente para que tomen las acciones correctivas.",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=202103642&View,2023-06-13,SI,"Ley 27806, Ley de Transparencia y Acceso a la Información Pública",SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Perú,2023,Ley 31802,LEY,"La ley modifica el artículo 15 de la Ley 29158 para establecer que la agenda de las sesiones del Consejo de Ministros se debe publicar en el portal de transparencia de la Presidencia del Consejo de Ministros antes del inicio de cada sesión. Además, los acuerdos del Consejo de Ministros se registrarán en actas que se aprobarán en la siguiente sesión y se publicarán en el portal de transparencia en un plazo máximo de veinticuatro horas. Sin embargo, se exceptúan de publicación los asuntos de inteligencia, orden interno, seguridad nacional u otra información considerada secreta, confidencial o reservada (excepciones ya previstas en la Ley de Transparencia). El Presidente del Consejo de Ministros asume la responsabilidad política ante el incumplimiento de la publicación de las agendas y actas de las sesiones del consejo.",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=202101963&View,2023-06-24,SI,"Ley 29158, Ley orgánica del Poder Ejecutivo",SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Perú,2023,Ley31814,LEY,"La ley establece principios para el desarrollo y uso de la inteligencia artificial, como estándares de seguridad basados en riesgos, enfoque de pluralidad de participantes, gobernanza de internet, desarrollo ético y protección de la privacidad de la inteligencia artificial. En cuanto a transparencia y privacidad, la ley menciona los principios de gobernanza de internet y desarrollo ético para una inteligencia artificial responsable. También destaca que la inteligencia artificial no debe transgredir la privacidad de las personas y debe actuar de manera segura para lograr un impacto positivo y de bienestar en los ciudadanos. En lo referente a ciberseguridad, la ley hace referencia a la identificación de amenazas graves o vulneraciones de ciberseguridad nacional, que deben ser informadas inmediatamente a la Comisión de Inteligencia del Congreso de la República.",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=202102775&View,2023-07-05,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Inteligencia Artificial,,,,,,,
