País,Año,N° de expediente,Origen,Tipo,Extracto,Link,Fecha de entrada,Comisión,Cantidad de firmantes,Partido político,¿Lo impulsó el oficialismo?,¿Modifica una ley vigente?,Ley que modifica,¿Estado parlamentario?,Fecha de caducidad,¿Fue aprobado en la Cámara de origen?,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en internet?,¿Apoyo de sociedad civil?,¿Limita el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Otros objetivos legítimos (2),Otros objetivos legítimos (3),Análisis del test tripartito
Argentina,2012,1149/12,Senado,Proyecto de ley,"PROYECTO DE LEY DE PREVENCION, PROTECCION Y CONTROL DEL MALTRATO. LA VIOLENCIA Y EL ACOSO ESCOLAR.",http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1149.12/S/PL,2012-05-08,Educación y Cultura; Presupuesto y Hacienda,1,Frente para la Victoria,SI,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Argentina,2012,1147/12,Senado,Proyecto de ley,PROYECTO DE LEY DE ACCESO A LA INFORMACION PUBLICA.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1147.12/S/PL,2012-05-08,"Asuntos Constitucionales; Justicia y Asuntos Penales; Asuntos Administrativos y Municipales; Sistemas, Medios de Comunicación y Libertad de expresión",1,Proyecto Buenos Aires Federal,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,378362,Diputados,Proyecto de ley,OFICINA DE ACCESO A LA INFORMACION PUBLICA: CREACION.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2935-D-2012&tipo=LEY,2012-05-10,Asuntos constitucionales; Justicia; Presupuesto y Hacienda,1,Unión por Todos,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,400277,Diputados,Proyecto de ley,"DERECHO DE ACCESO A LA CULTURA: SE ESTABLECE QUE LOS USUARIOS, EN FORMA INDIVIDUAL O EN LA Privacidad DE SU HOGAR, PODRAN ACCEDER A TRAVES DE LA RED INTERNET A OBRAS PROTEGIDAS POR LA LEY 11723, DE PROPIEDAD INTELECTUAL, Y OBTENER LA INFORMACION NECESARIA SIEMPRE QUE LA MISMA NO SEA UTILIZADA CON FINES COMERCIALES O DE LUCRO.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2995-D-2012&tipo=LEY,2012-05-11,Legislación general; Cultura; Comunicaciones e informática,4,Movimiento Proyecto Sur; Unidad Popular,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,SI,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,SI,Libertad de expresión,,
Argentina,2012,420365,Diputados,Proyecto de ley,"LIBERTAD RELIGIOSA: REGIMEN; MODIFICACION DEL CODIGO CIVIL, PENAL Y LAS LEYES 25855 DE TRABAJO VOLUNTARIO Y 26522 DE SERVICIOS AUDIOVISUALES; DEROGACION DE LA LEY 21745 DE REGISTRO NACIONAL DE CULTOS.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=3050-D-2012&tipo=LEY,2012-05-15,Relaciones exteriores y Culto; Legislación general; Legislación penal; Comunicaciones e informática,1,Frente Peronista,NO,SI,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,SI,Libertad de expresión,,
Argentina,2012,1305/12,Senado,Proyecto de ley,PREVENCION Y ERRADICACION DEL ACOSO ESCOLAR ENTRE PARES (BULLYING).,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1305.12/S/PL,2012-05-15,Educación y Cultura,1,Frente Cívico por Santiago,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Argentina,2012,1739/12,Senado,Proyecto de ley,PROYECTO DE LEY GARANTIZANDO EL DERECHO A LA LIBRE EXPRESION Y ACCESO A LA INFORMACION DE LAS PERSONAS CON DISCAPACIDAD.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1739.12/S/PL,2012-06-08,De población y desarrollo humano; De educación y cultura; De presupuesto y Hacienda,1,Frente Cívico,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,"Discriminación, violencia y discursos de odio",,,,SI,Discriminación,,
Argentina,2012,1847/12,Senado,Proyecto de ley,ROMERO: PROYECTO DE LEY MODIFICANDO LA LEY 26.032 - DERECHO A LA LIBERTAD DE EXPRESION A TRAVES DE INTERNET -,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1847.12/S/PL,2012-06-14,"De Sistemas, medios de comunicación y libertad de expresión",1,Frente Popular Salteño,NO,SI,,VIGENTE,2014-02-28,NO,NO,NO,SI,NO,NO,SI,NO,SI,,Promueve,Libertad de Expresión y Derechos políticos,,,,SI,Libertad de expresión,,
Argentina,2012,1863/12,Senado,Proyecto de ley,PROYECTO DE LEY GARANTIZANDO LA LIBRE EXPRESION Y EL ACCESO A LA INFORMACION DE LAS PERSONAS CON DISCAPACIDAD.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1863.12/S/PL,2012-06-18,"De población y desarrollo humano; De SIstemas, medios de comunicación y libertad de expresión; De educación y cultura; De presupuesto y Hacienda",5,UCR,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,"Discriminación, violencia y discursos de odio",,,,SI,Discriminación,,
Argentina,2012,1321783,Diputados,Proyecto de ley,ACCESO A LA INFORMACION PUBLICA: REGIMEN.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=5518-D-2012&tipo=LEY,2012-08-13,"Asuntos Constitucionales; Justicia; Peticiones, Poderes y Reglamento; Presupuesto y Hacienda",3,Frente Peronista,NO,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,2937/12,Senado,Proyecto de ley,PROYECTO DE LEY DE DERECHO DE ACCESO A LA INFORMACION PUBLICA.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/2937.12/S/PL,2012-08-24,"Asuntos Constitucionales; Justicia y Asuntos Penales; Asuntos Administrativos y Municipales; Sistemas, Medios de Comunicación y Libertad de expresión",3,UCR,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,1529973,Diputados,Proyecto de ley,ACCESO A LA INFORMACION PUBLICA. REGIMEN.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6088-D-2012&tipo=LEY,2012-08-30,"Asuntos Constitucionales; Justicia; Peticiones, Poderes y Reglamento; Presupuesto y Hacienda",2,UCR,NO,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2012,6484/12,Diputados,Proyecto de ley,"""CLAUSULA DE CONCIENCIA"" EN EL EJERCICIO PROFESIONAL DEL PERIODISMO.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6484-D-2012&tipo=LEY,2012-09-13,Legislación del trabajo; Comunicaciones e informática; Libertad de expresión,5,GEN,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,SI,Libertad de expresión,,
Argentina,2012,627823,Senado,Proyecto de ley,PROYECTO DE LEY DE NEUTRALIDAD DE RED Y PROTECCION A LOS USUARIOS DE LAS MISMAS.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/3618.12/S/PL,2012-10-09,"Sistemas, Medios de Comunicación y Libertad de expresión; Justicia y Asuntos Penales",2,UCR,NO,NO,,CADUCADO,2014-02-28,NO,NO,NO,SI,NO,NO,SI,NO,SI,,Promueve,Acceso a internet e Infraestructura,,,,SI,Neutralidad de la red,,
Argentina,2012,2253883,Diputados,Proyecto de ley,SERVICIOS DE INTERMEDIACION EN INTERNET. REGIMEN DE RESPONSABILIDAD DE SUS PROVEEDORES,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=8070-D-2012&tipo=LEY,2012-11-15,"Comunicaciones e informática; Defensa del consumidor, del usuario y de la competencia",2,PRO; Frente Peronista,NO,NO,,VIGENTE,2014-02-28,NO,NO,NO,NO,NO,NO,SI,NO,SI,,Promueve,Moderación de Contenidos y responsabilidad de intermediarios,,,,SI,Responsabilidad de intermediarios,,
Argentina,2013,0558/13,Diputados,Proyecto de ley,"""PRINCIPIO DE NEUTRALIDAD DE RED"": INCORPORACION A LA LEGISLACION NACIONAL (REPRODUCCION DEL EXPEDIENTE 0744-D-11).",,2013-03-11,"Comunicaciones e informática; Defensa del consumidor, del usuario y de la competencia; Comercio",1,Frente Peronista,NO,SI,,VIGENTE,2015-02-28,NO,NO,NO,NO,NO,NO,SI,NO,SI,,Promueve,Libertad de Expresión y Derechos políticos,,,,SI,Libertad de expresión,,
Argentina,2013,804/13,Senado,Proyecto de ley,PROYECTO DE LEY PROHIBIENDO LA OFERTA IRRESTRICTA EN LA VIA PÚBLICA DE PIEZAS DE PUBLICIDAD Y PROMOCION DE SERVICIOS SEXUALES.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/804.13/S/PL,2013-03-13,"Sistemas, Medios de Comunicación y Libertad de expresión",1,Frente ReNOvador de la Concordia,NO,NO,,CADUCADO,2015-02-28,NO,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Moral pública,SI,SI,NO,NO,,,
Argentina,2013,1079/13,Senado,Proyecto de ley,LEY DE LIBRE ACCESO A LA INFORMACION PUBLICA.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1079.13/S/PL,2013-03-19,Asuntos Constitucionales,2,Justicialista San Luis,NO,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2013,1311/13,Diputados,Proyecto de ley,"CODIGO PENAL: INCORPORACION DE LOS ARTICULOS 139 TER, 149 QUATER Y 157 TER, SOBRE ROBO DE IDENTIDAD.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1311-D-2013&amp;tipo=LEY,2013-03-22,Legislación Penal; Comunicaciones e informática,1,Movimiento Popular Neuquino,NO,SI,,VIGENTE,2015-02-28,NO,SI,NO,NO,NO,SI,SI,SI,NO,,Limita,Privacidad y Derechos ARCO,NO,SI,NO,NO,Privacidad,,
Argentina,2013,1382/13,Diputados,Proyecto de ley,"CODIGO PENAL: INCORPORACION DE ARTICULO 131, SOBRE UTILIZACION DE CUALQUIER MEDIO DE COMUNICACION ELECTRONICA PARA COMETER DELITOS CONTRA LA INTEGRIDAD SEXUAL DE MENORES DE EDAD.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1382-D-2013&tipo=LEY,2013-03-25,"Legislación penal; Familia, mujer, niñez y adolescencia",1,Salta somos todos,NO,SI,,VIGENTE,2015-02-28,NO,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,NO,SI,NO,NO,,,
Argentina,2013,1289/13,Senado,Proyecto de ley,MODIFICACION DE LOS ARTICULOS 2 Y 6 DE LA LEY 23592; SOBRE AUMENTO DEL MONTO MINIMO DE MULTAS.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1289.13/S/PL,2013-03-27,Justicia y Asuntos Penales,1,Frente para la Victoria,SI,SI,,VIGENTE,2015-02-28,NO,SI,NO,SI,NO,SI,NO,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",NO,SI,NO,NO,Violencia de género,,
Argentina,2013,1508/13,Diputados,Proyecto de ley,PROVEEDORES DE LOS SERVICIOS DE INTERNET: REGIMEN DE RESPONSABILIDADES.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1508-D-2013&tipo=LEY,2013-03-27,"Comunicaciones e informática; Defensa del consumidor, del usuario y de la competencia; Justicia",1,PRO,NO,NO,,VIGENTE,2015-02-28,NO,NO,NO,NO,NO,NO,SI,NO,SI,,Promueve,Moderación de Contenidos y responsabilidad de intermediarios,,,,SI,Responsabilidad de intermediarios,,
Argentina,2013,2092/13,Diputados,Proyecto de ley,ACCESO A LA INFORMACION PUBLICA.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2092-D-2013&tipo=LEY,2013-04-16,Asuntos Constitucionales; Justicia; Presupuesto y Hacienda,5,Proyecto Sur,NO,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2013,2310/13,Diputados,Proyecto de ley,"CODIGO PENAL: INCORPORACION DEL DELITO DE CIBER HOSTIGAMIENTO ""GROOMING""",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2310-D-2013&tipo=LEY,2013-04-22,"Legislación Penal; Familia, Mujer, Niñez y Adolescencia; Comunicaciones e informática",1,Frente Peronista,NO,SI,,CADUCADO,2015-02-28,NO,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,NO,SI,NO,NO,,,
Argentina,2013,2604/13,Diputados,Proyecto de ley,"CODIGO PENAL: MODIFICACION DEL ARTICULO 131, SOBRE DELITOS CONTRA LA INTEGRIDAD SEXUAL COMETIDO A UN MENOR DE EDAD, POR MEDIO DE COMUNICACIONES ELECTRONICAS, TELECOMUNICACIONES O CUALQUIER OTRA TECNOLOGIA DE TRANSMISION DE DATOS.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2604-D-2013&tipo=LEY,2013-04-30,"Legislación penal; Familia, mujer, niñez y adolescencia",1,Frente para la Victoria-PJ,SI,SI,,VIGENTE,2015-02-28,SI,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,NO,SI,NO,NO,,,
Argentina,2013,2742/13,Diputados,Proyecto de ley,"ACTOS DISCRIMINATORIOS, LEY 23592: MODIFICACIONES DE LOS ARTICULOS 1, 2 Y 3, SOBRE CONSIDERACION DE ACTO DISCRIMINATORIO, LEGITIMACION Y CARGA DE PRUEBA.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2742-D-2013&tipo=LEY,2013-05-07,Derechos humanos y garantías,9,Frente para la Victoria-PJ; Nuevo Encuentro; UCR; GEN; Movimiento Popular Neuquino,SI,SI,,VIGENTE,2015-02-28,NO,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",NO,SI,SI,NO,Discriminación,,
Argentina,2013,1856/13,Senado,Proyecto de ley,PROYECTO DE LEY ESTABLECIENDO EL PRINCIPIO DE NEUTRALIDAD EN LA RED EN EL SERVICIO DE ACCESO A INTERNET.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/1856.13/S/PL,2013-05-07,"Sistemas, Medios de Comunicación y Libertad de expresión",1,Partido Justicialista,NO,NO,,CADUCADO,2015-02-28,NO,NO,NO,NO,NO,NO,SI,NO,SI,,Promueve,Acceso a internet e Infraestructura,,,,SI,Neutralidad de la red,,
Argentina,2013,3064/13,Diputados,Proyecto de ley,"CODIGO PENAL: INCORPORACION DEL ARTICULO 125 TER, SOBRE DELITOS CONTRA LA INTEGRIDAD SEXUAL DE MENORES COMETIDOS CON TECNOLOGIA DE LA INFORMACION Y LA COMUNICACION.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=3064-D-2013&tipo=LEY,2013-05-14,"Legislación Penal; Familia, Mujer, Niñez y Adolescencia",3,Frente Peronista,NO,SI,,CADUCADO,2015-02-28,SI,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,NO,SI,NO,NO,,,
Argentina,2013,2222/13,Senado,Proyecto de ley,PROYECTO DE LEY ESTABLECIENDO EL PRINCIPIO DE NEUTRALIDAD EN LA RED.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/2222.13/S/PL,2013-05-28,"Sistemas, Medios de Comunicación y Libertad de expresión; Justicia y Asuntos Penales",2,Frente para la Victoria,SI,NO,,CADUCADO,2015-02-28,NO,NO,NO,SI,NO,NO,SI,NO,SI,,Promueve,Acceso a internet e Infraestructura,,,,SI,Neutralidad de la red,,
Argentina,2013,4395/13,Diputados,Proyecto de ley,LEY 23592 DE ACTOS DISCRIMINATORIOS Y SUS MODIFICATORIAS: ABROGACION. MODIFICACION DEL CODIGO PENAL.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4395-D-2013&tipo=LEY,2013-05-30,Derechos humanos y garantías; Legislación penal,2,Frente para la Victoria-PJ,SI,SI,,VIGENTE,2015-02-28,NO,SI,NO,SI,NO,SI,NO,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",NO,NO,NO,NO,Discriminación,,
Argentina,2013,2291/13,Senado,Proyecto de ley,PROYECTO DE LEY ESTABLECIENDO LA NEUTRALIDAD EN LA RED.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/2291.13/S/PL,2013-06-04,"Sistemas, Medios de Comunicación y Libertad de expresión; Derechos y Garantías",1,Frente para la Victoria,SI,NO,,CADUCADO,2015-02-28,NO,NO,NO,SI,NO,NO,SI,NO,SI,,Promueve,Acceso a internet e Infraestructura,,,,SI,Neutralidad de la red,,
Argentina,2013,4673/13,Diputados,Proyecto de ley,DERECHO DE ACCESO A LA INFORMACION PUBLICA.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4673-D-2013&tipo=LEY,2013-06-11,"Asuntos constitucionales; Justicia; Presupuesto y Hacienda; Peticiones, Poderes y Reglamento",11,UCR,NO,NO,,CADUCADO,2015-02-28,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2013,4997/13,Diputados,Proyecto de ley,"EDUCACION NACIONAL (LEY 26206): MODIFICACIONES, SOBRE ACOSO ESCOLAR - BULLYING.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4997-D-2013&tipo=LEY,2013-07-01,"Educación; Familia, Mujer, Niñez y Adolescencia; Presupuesto y Hacienda",1,Frente Peronista,NO,SI,,CADUCADO,2015-02-28,NO,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Argentina,2013,5184/13,Diputados,Proyecto de ley,REGIMEN DE POLITICAS PUBLICAS DESTINADAS A LA ERRADICACION DE LA VIOLENCIA Y LA DISCRIMINACION EN EL AMBITO ESCOLAR.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=5184-D-2013&tipo=LEY,2013-07-08,"Educación; Familia, Mujer, Niñez y Adolescencia; Presupuesto y Hacienda",3,Frente para la Victoria,SI,NO,,CADUCADO,2015-02-28,NO,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Argentina,2013,5606/13,Diputados,Proyecto de ley,ACTOS DISCRIMINATORIOS (LEY 23592): MODIFICACION DEL ARTICULO 1 SOBRE LA PROHIBICION DE DISCRIMINACION POR EDAD.,http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=5606-D-2013&tipo=LEY,2013-08-06,Derechos humanos y garantías,3,UCR; Udeso Salta,NO,SI,,VIGENTE,2015-02-28,NO,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",NO,SI,NO,NO,Discriminación,,
Argentina,2013,3539/13,Senado,Proyecto de ley,REGIMEN DE ACCESO A LA INFORMACION (REPRODUCCION DEL EXPEDIENTE 2399-S-09).,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/3539.13/S/PL,2013-09-23,"Asuntos Constitucionales; Legislación General; Justicia y Asuntos Penales; Sistemas, Medios de Comunicación y Libertad de expresión",1,Frente para la Victoria,SI,NO,,CADUCADO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,SI,,,
Argentina,2013,3761/13,Senado,Proyecto de ley,PROYECTO DE LEY GARANTIZANDO LA NEUTRALIDAD EN LA RED.,http://www.senado.gov.ar/parlamentario/comiSIones/verExp/3761.13/S/PL,2013-10-08,"Sistemas, Medios de Comunicación y Libertad de expresión",1,Alianza Compromiso Federal,NO,NO,,CADUCADO,2015-02-28,NO,NO,NO,NO,NO,NO,SI,NO,SI,,Promueve,Acceso a internet e Infraestructura,,,,SI,Neutralidad de la red,,
Argentina,2013,6943/13,Diputados,Proyecto de ley,"PROHIBIR EN CUALQUIER MEDIO DE COMUNICACION TODO AVISO, PUBLICACION, PUBLICIDAD Y MENSAJE QUE FOMENTE LA OFERTA SEXUAL Y LA TRATA DE PERSONAS CON FINES DE EXPLOTACION SEXUAL: REGIMEN.",http://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6943-D-2013&tipo=LEY,2013-10-09,"Comunicaciones e informática; Sistemas, medios de comunicación y libertad de expresión; Justicia y Asuntos penales",8,Frente para la Victoria,SI,NO,,VIGENTE,2015-02-28,SI,NO,NO,SI,NO,SI,SI,NO,NO,,Limita,Moral pública,SI,SI,SI,SI,,,
